ChargingStation;Unit;Value;MinLevelValue;MaxLevelValue;StartHour;EndHour
BRG-00029;kWh;0.11;0;NA;NA;NA
BRG-00032;charge;0.3;0;NA;NA;NA
BRG-00032;min;0.035;0;NA;NA;NA
BRG-00033;charge;0.3;0;NA;NA;NA
BRG-00033;min;0.035;0;NA;NA;NA
BRG-00036;charge;0.297;0;NA;NA;NA
BRG-00036;kWh;0.06;0;NA;NA;NA
BRG-00036;min;0.01;0;NA;NA;NA
BRG-00037;charge;0.297;0;NA;NA;NA
BRG-00037;kWh;0.06;0;NA;NA;NA
BRG-00037;min;0.01;0;NA;NA;NA
BRG-00038;charge;0.2964;0;NA;NA;NA
BRG-00038;min;0.015;0;120;NA;NA
BRG-00038;min;0.03;120;NA;NA;NA
BRG-00039;charge;0.2964;0;NA;NA;NA
BRG-00039;min;0.015;0;120;NA;NA
BRG-00039;min;0.03;120;NA;NA;NA
BRG-00040;charge;0.2964;0;NA;NA;NA
BRG-00040;min;0.035;0;NA;NA;NA
BRG-00041;charge;0.2964;0;NA;NA;NA
BRG-00041;min;0.035;0;NA;NA;NA
BRG-00042;charge;0.2964;0;NA;NA;NA
BRG-00042;min;0.035;0;NA;NA;NA
BRG-00043;charge;0.2964;0;NA;NA;NA
BRG-00043;min;0.1;0;NA;NA;NA
BRG-00044;charge;0.2964;0;NA;NA;NA
BRG-00044;min;0.1;0;NA;NA;NA
BRG-00045;charge;0.297;0;NA;NA;NA
BRG-00045;min;0.12;0;NA;NA;NA
BRG-00047;min;0.03;0;NA;NA;NA
BRG-00048;min;0.03;0;NA;NA;NA
BRG-00049;min;0.03;0;NA;NA;NA
BRG-00050;min;0.05;0;NA;NA;NA
BRG-00051;min;0.05;0;NA;NA;NA
BRG-00052;min;0.03;0;NA;NA;NA
BRG-00054;min;0.03;0;NA;NA;NA
BRG-00057;charge;0.166;0;NA;NA;NA
BRG-00057;min;0.02;0;NA;NA;NA
BRG-00058;min;0.02;0;NA;NA;NA
BRG-00061;min;0.1;0;NA;NA;NA
BRG-90001;min;0.015;0;NA;NA;NA
BRG-90002;min;0.0046;0;NA;NA;NA
BRG-90003;min;0.005;0;NA;NA;NA
BRG-90005;min;0.009;0;NA;NA;NA
BRG-90007;min;0.009;0;NA;NA;NA
BRG-90008;min;0.0046;0;NA;NA;NA
BRG-90009;min;0.0046;0;NA;NA;NA
